Home_Team,Away_Team,Result,Link,Season,Round,League
Willem II,NAC Breda,1-1,https://www.besoccer.com/match/willem-ii/nac-breda/2013918,2013,1,eredivisie
RKC Waalwijk,PSV,3-2,https://www.besoccer.com/match/rkc-waalwijk/psv/2013919,2013,1,eredivisie
Roda JC,PEC Zwolle,1-1,https://www.besoccer.com/match/roda-jc/fc-zwolle/20131260,2013,1,eredivisie
Heracles,VVV Venlo,1-1,https://www.besoccer.com/match/heracles/vvv/20131261,2013,1,eredivisie
Utrecht,Feyenoord,0-1,https://www.besoccer.com/match/fc-utrecht/feyenoord/20131262,2013,1,eredivisie
Twente 1965,Groningen,4-1,https://www.besoccer.com/match/fc-twente-1965/fc-groningen/20131263,2013,1,eredivisie
Vitesse,ADO Den Haag,2-2,https://www.besoccer.com/match/vitesse/ado-den-haag/20131264,2013,1,eredivisie
Heerenveen,NEC Nijmegen,0-2,https://www.besoccer.com/match/heerenveen/nec/20131265,2013,1,eredivisie
Ajax,AZ Alkmaar,2-2,https://www.besoccer.com/match/ajax/az/20131266,2013,1,eredivisie
PSV,Roda JC,5-0,https://www.besoccer.com/match/psv/roda-jc/20131276,2013,2,eredivisie
NAC Breda,Twente 1965,0-1,https://www.besoccer.com/match/nac-breda/fc-twente-1965/20131277,2013,2,eredivisie
PEC Zwolle,Vitesse,0-1,https://www.besoccer.com/match/fc-zwolle/vitesse/20131278,2013,2,eredivisie
VVV Venlo,Utrecht,1-3,https://www.besoccer.com/match/vvv/fc-utrecht/20131279,2013,2,eredivisie
Feyenoord,Heerenveen,1-1,https://www.besoccer.com/match/feyenoord/heerenveen/20131280,2013,2,eredivisie
Groningen,Willem II,1-1,https://www.besoccer.com/match/fc-groningen/willem-ii/20131281,2013,2,eredivisie
ADO Den Haag,RKC Waalwijk,2-2,https://www.besoccer.com/match/ado-den-haag/rkc-waalwijk/20131282,2013,2,eredivisie
AZ Alkmaar,Heracles,3-1,https://www.besoccer.com/match/az/heracles/20131283,2013,2,eredivisie
NEC Nijmegen,Ajax,1-6,https://www.besoccer.com/match/nec/ajax/20131284,2013,2,eredivisie
